Timestamp,fan_type,p2-p3,mdot,Vx,p1-patm,p2-patm,p1-p2,rho
11/11/2025 15:46,9_blade,-69.41,0.0247,4.94,-1.52,7.15,8.67,1.21
11/11/2025 15:46,9_blade,-67.88,0.0245,4.88,-1.1,5.19,6.29,1.21
11/11/2025 15:46,9_blade,-73.27,0.0254,5.07,-1.34,6.31,7.65,1.21
11/11/2025 15:47,9_blade,-73.78,0.0255,5.09,-0.84,3.95,4.79,1.21
11/11/2025 15:47,9_blade,-75.46,0.0258,5.15,-0.85,4.01,4.86,1.21
11/11/2025 15:46,9_blade,-76.1,0.0259,5.17,-4.02,18.92,22.93,1.21
11/11/2025 15:46,9_blade,-84.77,0.0274,5.46,-3.95,18.59,22.54,1.21
11/11/2025 15:46,9_blade,-83.11,0.0271,5.4,-3.72,17.52,21.24,1.21
11/11/2025 15:46,9_blade,-84.27,0.0273,5.44,-3.35,15.8,19.15,1.21
11/11/2025 15:46,9_blade,-88.61,0.028,5.58,-3.87,18.26,22.13,1.21
11/11/2025 15:46,9_blade,-67.42,0.0244,4.87,-1.58,7.42,9,1.21
11/11/2025 15:46,9_blade,-67.38,0.0244,4.86,-0.91,4.28,5.18,1.21
11/11/2025 15:46,9_blade,-69.19,0.0247,4.93,-0.99,4.67,5.66,1.21
11/11/2025 15:46,9_blade,-71.41,0.0251,5.01,-0.77,3.66,4.43,1.21
11/11/2025 15:46,9_blade,-71.73,0.0252,5.02,-1.02,4.84,5.86,1.21
11/11/2025 15:59,9_blade,-47.36,0.0204,4.08,-2.53,11.92,14.46,1.21
11/11/2025 15:59,9_blade,-46.21,0.0202,4.03,-2.92,13.75,16.67,1.21
11/11/2025 15:59,9_blade,-53.66,0.0218,4.34,-2.56,12.08,14.64,1.21
11/11/2025 15:59,9_blade,-68.65,0.0246,4.91,-1.72,8.12,9.83,1.21
11/11/2025 16:12,9_blade,-61.36,0.0233,4.64,-6.53,30.78,37.31,1.21
11/11/2025 16:12,9_blade,-64.18,0.0238,4.75,-6.67,31.45,38.12,1.21
11/11/2025 16:12,9_blade,-58.57,0.0227,4.53,-7.23,34.08,41.31,1.21
11/11/2025 16:13,9_blade,-65.47,0.024,4.79,-6.07,28.6,34.68,1.21
11/11/2025 16:13,9_blade,-71.86,0.0252,5.02,-4.79,22.55,27.34,1.21
11/11/2025 16:13,9_blade,-80.05,0.0266,5.3,-4.79,22.55,27.34,1.21
11/11/2025 16:13,9_blade,-89.58,0.0281,5.61,-3.77,17.74,21.51,1.21
11/11/2025 16:13,9_blade,-110.23,0.0312,6.22,-3.46,16.32,19.78,1.21
11/11/2025 16:13,9_blade,-108.58,0.031,6.17,-2.9,13.65,16.54,1.21
11/11/2025 16:14,9_blade,-106.77,0.0307,6.12,-3.16,14.87,18.03,1.21
11/11/2025 16:21,7_blade_flat,-58.98,0.0228,4.55,-7.69,36.21,43.89,1.21
11/11/2025 16:21,7_blade_flat,-57.27,0.0225,4.48,-8.31,39.17,47.48,1.21
11/11/2025 16:21,7_blade_flat,-59.76,0.023,4.58,-7.26,34.18,41.44,1.21
11/11/2025 16:21,7_blade_flat,-66.91,0.0243,4.85,-5.5,25.91,31.41,1.21
11/11/2025 16:21,7_blade_flat,-70.78,0.025,4.99,-3.71,17.49,21.2,1.21
11/11/2025 16:21,7_blade_flat,-78.68,0.0264,5.26,-3.03,14.3,17.33,1.21
11/11/2025 16:22,7_blade_flat,-91.87,0.0285,5.68,-2.58,12.13,14.71,1.21
11/11/2025 16:22,7_blade_flat,-103.67,0.0302,6.03,-1.56,7.36,8.92,1.21
11/11/2025 16:22,7_blade_flat,-99.08,0.0296,5.9,-1.2,5.66,6.87,1.21
11/11/2025 16:22,7_blade_flat,-97.27,0.0293,5.84,-1.59,7.47,9.06,1.21
